fecha_hecho,latitud,longitud,sexo,edad,estado_civil,medio_transporte,modalidad,conducta_especial,arma_medio,nombre_barrio,codigo_barrio,codigo_comuna,lugar,sede_receptora,bien,categoria_bien,color,fecha,lat,lon,id_hecho,coord_imputada,edad_imputada,comuna,anio,mes,hora,dia,anio_mes,franja
01/01/2017 16:00,627.623.616,-7.555.353.312,Hombre,37.0,Casado(a),Taxi,Atraco,De celular,Arma de fuego,Campo Valdés No.1,#0410,4,Vía pública,Aranjuez,Celular,Tecnología,Negro,2017-01-01 16:00:00,6.27623616,-75.55353312,2017-01-01 16:00:00|627.623.616|-7.555.353.312|Hombre|37.0|Campo Valdés No.1|Vía pública|Atraco,False,False,Aranjuez,2017,1,16,Domingo,2017-01-01,Tarde (12-17)
01/01/2017 16:00,621.907.115,-7.560.299.601,Mujer,29.0,Unión marital de hecho,Taxi,Descuido,No,No,La Loma de los Bernal,#1611,16,Vía pública,Belén,Elementos escolares,Elementos escolares,,2017-01-01 16:00:00,6.21907115,-75.60299601,2017-01-01 16:00:00|621.907.115|-7.560.299.601|Mujer|29.0|La Loma de los Bernal|Vía pública|Descuido,False,False,Belén,2017,1,16,Domingo,2017-01-01,Tarde (12-17)
01/01/2017 16:00,621.907.115,-7.560.299.601,Mujer,29.0,Unión marital de hecho,Taxi,Descuido,No,No,La Loma de los Bernal,#1611,16,Vía pública,Belén,Computador,Tecnología,,2017-01-01 16:00:00,6.21907115,-75.60299601,2017-01-01 16:00:00|621.907.115|-7.560.299.601|Mujer|29.0|La Loma de los Bernal|Vía pública|Descuido,False,False,Belén,2017,1,16,Domingo,2017-01-01,Tarde (12-17)
02/01/2017 10:30,624.275.379,-7.554.836.478,Hombre,36.0,Casado(a),Taxi,Atraco,A taxista,Arma de fuego,El Pinal,#0810,8,Vía pública,Villa Hermosa,Peso,"Dinero, joyas, piedras preciosas y título valor",,2017-01-02 10:30:00,6.24275379,-75.54836478,2017-01-02 10:30:00|624.275.379|-7.554.836.478|Hombre|36.0|El Pinal|Vía pública|Atraco,False,False,Villa Hermosa,2017,1,10,Lunes,2017-01-01,Mañana (6-11)
02/01/2017 10:30,624.275.379,-7.554.836.478,Hombre,36.0,Casado(a),Taxi,Atraco,A taxista,Arma de fuego,El Pinal,#0810,8,Vía pública,Villa Hermosa,Celular,Tecnología,Blanco,2017-01-02 10:30:00,6.24275379,-75.54836478,2017-01-02 10:30:00|624.275.379|-7.554.836.478|Hombre|36.0|El Pinal|Vía pública|Atraco,False,False,Villa Hermosa,2017,1,10,Lunes,2017-01-01,Mañana (6-11)
02/01/2017 8:30,622.272.947,-7.558.425.274,Hombre,22.0,Casado(a),Taxi,Atraco,A taxista,Arma de fuego,Santa Fé,#1504,15,Vía pública,Belén,Peso,"Dinero, joyas, piedras preciosas y título valor",,2017-01-02 08:30:00,6.22272947,-75.58425274,2017-01-02 08:30:00|622.272.947|-7.558.425.274|Hombre|22.0|Santa Fé|Vía pública|Atraco,False,False,Guayabal,2017,1,8,Lunes,2017-01-01,Mañana (6-11)
03/01/2017 7:00,629.045.179,-7.556.460.824,Hombre,35.0,Unión marital de hecho,Metro,Cosquilleo,,No,Tricentenario,#0510,5,Estación del Metro,Castilla,Billetera,Prendas de vestir y accesorios,,2017-01-03 07:00:00,6.29045179,-75.56460824,2017-01-03 07:00:00|629.045.179|-7.556.460.824|Hombre|35.0|Tricentenario|Estación del Metro|Cosquilleo,False,False,Castilla,2017,1,7,Martes,2017-01-01,Mañana (6-11)
03/01/2017 7:00,629.045.179,-7.556.460.824,Hombre,35.0,Unión marital de hecho,Metro,Cosquilleo,,No,Tricentenario,#0510,5,Estación del Metro,Castilla,Cédula,Documentos,,2017-01-03 07:00:00,6.29045179,-75.56460824,2017-01-03 07:00:00|629.045.179|-7.556.460.824|Hombre|35.0|Tricentenario|Estación del Metro|Cosquilleo,False,False,Castilla,2017,1,7,Martes,2017-01-01,Mañana (6-11)
04/01/2017 15:00,627.210.659,-7.556.045.631,Hombre,26.0,Soltero(a),Taxi,Atraco,,Arma de fuego,Brasilia,#0414,4,Vía pública,Aranjuez,Celular,Tecnología,,2017-01-04 15:00:00,6.27210659,-75.56045631,2017-01-04 15:00:00|627.210.659|-7.556.045.631|Hombre|26.0|Brasilia|Vía pública|Atraco,False,False,Aranjuez,2017,1,15,Miércoles,2017-01-01,Tarde (12-17)
04/01/2017 17:00,620.326.723,-755.593.313,Hombre,52.0,Casado(a),Taxi,Atraco,No,Arma de fuego,El Tesoro,#1409,14,Vía pública,Poblado,Accesorios prendas de vestir,Prendas de vestir y accesorios,Verde,2017-01-04 17:00:00,6.20326723,-75.5593313,2017-01-04 17:00:00|620.326.723|-755.593.313|Hombre|52.0|El Tesoro|Vía pública|Atraco,False,False,El Poblado,2017,1,17,Miércoles,2017-01-01,Tarde (12-17)
